visit_id,dataset_id,habitat,latitude,dataset_name,date,cor_long,ras_num
126,111,MS = Cloud forest,17.635,Saba2009,20/01/2009,-63.24,3
116,111,SC = Montane,17.638,Saba2009,20/01/2009,-63.235,3
446,231,Forest - 1000,18.3119,Sonadora2004,13/02/2004,-65.795,3
441,231,Forest - 950,18.3131,Sonadora2004,27/01/2003,-65.7964,3
436,231,Forest - 900,18.3149,Sonadora2004,23/01/2003,-65.7975,3
431,231,Forest - 850,18.3158,Sonadora2004,23/01/2003,-65.7994,3
426,231,Forest - 800,18.3164,Sonadora2004,07/02/2004,-65.8017,3
421,231,Forest - 750,18.3169,Sonadora2004,18/02/2004,-65.8031,3
416,231,Forest - 700,18.3183,Sonadora2004,03/02/2003,-65.804,3
411,231,Forest - 650,18.3202,Sonadora2004,03/02/2003,-65.8051,3
401,231,Forest - 550,18.3209,Sonadora2004,02/02/2004,-65.81,3
156,121,Dwarf forest,18.27,ElVerde1993,18/12/1993,-65.76,3
151,121,Palo colarado,18.29,ElVerde1993,18/12/1993,-65.79,3
146,121,Tabunoco,18.321,ElVerde1993,18/12/1993,-65.817,3
171,126,Dwarf forest,18.27,ElVerde1994,01/01/1994,-65.76,3
166,126,Palo colarado,18.29,ElVerde1994,01/01/1994,-65.79,3
161,126,Tabunoco,18.321,ElVerde1994,01/01/1994,-65.817,3
361,221,Dwarf Forest,18.27,ElVerde1996,12/03/1966,-65.76,3
356,221,Palo Colarado,18.29,ElVerde1996,12/03/1996,-65.79,3
351,221,Tabunoco,18.321,ElVerde1996,12/03/1996,-65.817,3
181,131,Palo colarado,18.29,ElVerde1997,28/02/1997,-65.79,3
176,131,Tabunoco,18.321,ElVerde1997,28/02/1997,-65.817,3
141,116,Dwarf forest,18.27,ElVerde2010,13/01/2010,-65.76,3
136,116,Palo colarado,18.29,ElVerde2010,13/01/2010,-65.79,3
131,116,Tabunoco,18.321,ElVerde2010,13/01/2010,-65.817,3
406,231,Forest - 600,18.3211,Sonadora2004,04/02/2004,-65.808,3
396,231,Forest - 500,18.3212,Sonadora2004,29/01/2003,-65.8124,3
391,231,Forest - 450,18.3225,Sonadora2004,31/01/2004,-65.8147,3
376,231,Forest - 400,18.3229,Sonadora2004,24/01/2004,-65.8163,3
486,256,Inundated forest,18.4267,Quintana_Roo2011,01/05/2011,-88.8044,3
